vref,target,reference
GEN 19:13,"For we will destroy this place, because the cry of them is waxen great before the face of the LORD; and the LORD hath sent us to destroy it.","For we will destroy this place, because the cry of them is waxen great before the face of the LORD; and the LORD hath sent us to destroy it."
GEN 19:14,"And Lot went out, and spake unto his sons in law, which married his daughters, and said, Up, get you out of this place; for the LORD will destroy this city. But he seemed as one that mocked unto his sons in law.","And Lot went out, and spake unto his sons in law, which married his daughters, and said, Up, get you out of this place; for the LORD will destroy this city. But he seemed as one that mocked unto his sons in law."
GEN 19:15,"¶ And when the morning arose, then the angels hastened Lot, saying, Arise, take thy wife, and thy two daughters, which are here; lest thou be consumed in the iniquity of the city.","¶ And when the morning arose, then the angels hastened Lot, saying, Arise, take thy wife, and thy two daughters, which are here; lest thou be consumed in the iniquity of the city."
GEN 19:16,"And while he lingered, the men laid hold upon his hand, and upon the hand of his wife, and upon the hand of his two daughters; the LORD being merciful unto him: and they brought him forth, and set him without the city.","And while he lingered, the men laid hold upon his hand, and upon the hand of his wife, and upon the hand of his two daughters; the LORD being merciful unto him: and they brought him forth, and set him without the city."
GEN 19:17,"¶ And it came to pass, when they had brought them forth abroad, that he said, Escape for thy life; look not behind thee, neither stay thou in all the plain; escape to the mountain, lest thou be consumed.","¶ And it came to pass, when they had brought them forth abroad, that he said, Escape for thy life; look not behind thee, neither stay thou in all the plain; escape to the mountain, lest thou be consumed."
GEN 19:18,"And Lot said unto them, Oh, not so, my Lord:","And Lot said unto them, Oh, not so, my Lord:"
GEN 19:19,"Behold now, thy servant hath found grace in thy sight, and thou hast magnified thy mercy, which thou hast shewed unto me in saving my life; and I cannot escape to the mountain, lest some evil take me, and I die:","Behold now, thy servant hath found grace in thy sight, and thou hast magnified thy mercy, which thou hast shewed unto me in saving my life; and I cannot escape to the mountain, lest some evil take me, and I die:"
GEN 19:20,"Behold now, this city is near to flee unto, and it is a little one: Oh, let me escape thither, (is it not a little one?) and my soul shall live.","Behold now, this city is near to flee unto, and it is a little one: Oh, let me escape thither, (is it not a little one?) and my soul shall live."
GEN 19:21,"And he said unto him, See, I have accepted thee concerning this thing also, that I will not overthrow this city, for the which thou hast spoken.","And he said unto him, See, I have accepted thee concerning this thing also, that I will not overthrow this city, for the which thou hast spoken."
GEN 19:22,"Haste thee, escape thither; for I cannot do any thing till thou be come thither. Therefore the name of the city was called Zoar.","Haste thee, escape thither; for I cannot do any thing till thou be come thither. Therefore the name of the city was called Zoar."
GEN 19:23,¶ The sun was risen upon the earth when Lot entered into Zoar.,¶ The sun was risen upon the earth when Lot entered into Zoar.
GEN 19:24,Then the LORD rained upon Sodom and upon Gomorrah brimstone and fire from the LORD out of heaven;,Then the LORD rained upon Sodom and upon Gomorrah brimstone and fire from the LORD out of heaven;
GEN 19:25,"And he overthrew those cities, and all the plain, and all the inhabitants of the cities, and that which grew upon the ground.","And he overthrew those cities, and all the plain, and all the inhabitants of the cities, and that which grew upon the ground."
GEN 19:26,"¶ But his wife looked back from behind him, and she became a pillar of salt.","¶ But his wife looked back from behind him, and she became a pillar of salt."
GEN 19:27,¶ And Abraham gat up early in the morning to the place where he stood before the LORD:,¶ And Abraham gat up early in the morning to the place where he stood before the LORD:
GEN 19:28,"And he looked toward Sodom and Gomorrah, and toward all the land of the plain, and beheld, and, lo, the smoke of the country went up as the smoke of a furnace.","And he looked toward Sodom and Gomorrah, and toward all the land of the plain, and beheld, and, lo, the smoke of the country went up as the smoke of a furnace."
GEN 19:29,"¶ And it came to pass, when God destroyed the cities of the plain, that God remembered Abraham, and sent Lot out of the midst of the overthrow, when he overthrew the cities in the which Lot dwelt.","¶ And it came to pass, when God destroyed the cities of the plain, that God remembered Abraham, and sent Lot out of the midst of the overthrow, when he overthrew the cities in the which Lot dwelt."
GEN 19:30,"¶ And Lot went up out of Zoar, and dwelt in the mountain, and his two daughters with him; for he feared to dwell in Zoar: and he dwelt in a cave, he and his two daughters.","¶ And Lot went up out of Zoar, and dwelt in the mountain, and his two daughters with him; for he feared to dwell in Zoar: and he dwelt in a cave, he and his two daughters."
GEN 19:31,"And the firstborn said unto the younger, Our father is old, and there is not a man in the earth to come in unto us after the manner of all the earth:","And the firstborn said unto the younger, Our father is old, and there is not a man in the earth to come in unto us after the manner of all the earth:"
GEN 19:32,"Come, let us make our father drink wine, and we will lie with him, that we may preserve seed of our father.","Come, let us make our father drink wine, and we will lie with him, that we may preserve seed of our father."
GEN 19:33,"And they made their father drink wine that night: and the firstborn went in, and lay with her father; and he perceived not when she lay down, nor when she arose.","And they made their father drink wine that night: and the firstborn went in, and lay with her father; and he perceived not when she lay down, nor when she arose."
GEN 19:34,"And it came to pass on the morrow, that the firstborn said unto the younger, Behold, I lay yesternight with my father: let us make him drink wine this night also; and go thou in, and lie with him, that we may preserve seed of our father.","And it came to pass on the morrow, that the firstborn said unto the younger, Behold, I lay yesternight with my father: let us make him drink wine this night also; and go thou in, and lie with him, that we may preserve seed of our father."
GEN 19:35,"And they made their father drink wine that night also: and the younger arose, and lay with him; and he perceived not when she lay down, nor when she arose.","And they made their father drink wine that night also: and the younger arose, and lay with him; and he perceived not when she lay down, nor when she arose."
